Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
SOBECA;703780247;2018;82;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
Hopscotch Groupe;602063323;2018;60;Unité Economique et Sociale (UES);;Hopscotch (437582927),Le Public Système Cinéma (301546966),Human to Human (449389667),Hopscotch Africa (753725530),Sagarmatha (383723681),Le Public Système Ressources (380972497),Hopscotch Congrès (422322479),Hopscotch Rouge (441877487),ATI (523872539);Île-de-France;Paris
SOCIETE DU FIGARO;542077755;2019;94;Unité Economique et Sociale (UES);;FIGARO MANAGEMENT (492853544);Île-de-France;Paris
SUPERMARCHES MATCH;785480351;2018;67;Entreprise;;;Hauts-de-France;Nord
LA GALIOTE PRENANT;332124072;2019;99;Unité Economique et Sociale (UES);;FP INDUSTRIES (449163708),IN CHOISY - CFI (490127339);Île-de-France;Val-de-Marne
ALLIADIS;342280609;2019;84;Unité Economique et Sociale (UES);;ALLIANCE SOFTWARE (407702208);Île-de-France;Hauts-de-Seine
MUTUALITE FRANCAISE CENTRE VAL DE LOIRE;775347891;2018;95;Entreprise;;;Centre-Val de Loire;Indre-et-Loire
Union sociale pour l'habitat;775697907;2018;73;Unité Economique et Sociale (UES);;Habitat et territoires conseils (313149973),Afpols (784353880),Ecole Renouvellement Urbain (331532135),H'PROM (799326665);Île-de-France;Paris
Bouygues Bâtiment Centre Sud Ouest;310505748;2018;67;Unité Economique et Sociale (UES);;Linkcity Centre Sud Ouest (378117659);Nouvelle-Aquitaine;Gironde
PACIFICA;352358865;2019;89;Unité Economique et Sociale (UES);;SIRCA (388156499);Île-de-France;Paris
ASSOCIATION DIOCESAINE DE TARBES ET LOURDES, SANCTUAIRE DE LOURDES;389047101;2018;;Unité Economique et Sociale (UES);;ASSOCIATION AVE MARIA (777137597),SARL DU SANCTUAIRE (400625950),EURL BASILIQUE DU ROSAIRE (430034801);Occitanie;Hautes-Pyrénées
Crédit Agricole Immobilier;380867978;2018;77;Unité Economique et Sociale (UES);;Crédit Agricole Immobilier Services (400777827),Crédit Agricole Immobilier Promotion (397942004),SO.GI.CO (351277314);Île-de-France;Hauts-de-Seine
ADSN;329325005;2019;84;Unité Economique et Sociale (UES);;ADNOV (381000611);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
CLS Rémy Cointreau;434831335;2019;83;Unité Economique et Sociale (UES);;E.REMY MARTIN & Cie (775563323),COINTREAU (582143384);Nouvelle-Aquitaine;Charente
HELVETIA COMPAGNIE SUISSE D'ASSURANCES;775753072;2018;66;Unité Economique et Sociale (UES);;HELVETIA ASSURANCES SA (339489379);Normandie;Seine-Maritime
VILMORIN ET CIE;377913728;2018;86;Unité Economique et Sociale (UES);;GROUPE LIMAGRAIN HOLDING (322791039);Auvergne-Rhône-Alpes;Puy-de-Dôme
AGIR A DOM HOLDING;528127442;2019;94;Unité Economique et Sociale (UES);;AGIR A DOM ASSISTANCE (528214182),AGIR A DOM (311211031),ICADOM (815322078);Auvergne-Rhône-Alpes;Isère
PETROINEOS MANUFACTURING FRANCE SAS;392860243;2018;63;Unité Economique et Sociale (UES);;INEOS CHEMICALS LAVERA SAS (490702800),INEOS DERIVATIVES LAVERA SAS (802950873),INEOS TECHNOLOGIES FRANCE SAS (489938084),INEOS FRANCE SAS (351670823),INEOS REFINING FRANCE (509868337);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
CA Indosuez Wealth (France);572171635;2019;99;Unité Economique et Sociale (UES);;CA Indosuez Gestion (392945382);Île-de-France;Paris
S.A.S Organisation Voyages Planche (O.V.P);312326275;2018;65;Unité Economique et Sociale (UES);;ENVOL VOYAGES (327191854),SAS C.Y.G. PRODUCTION VOYAGES (450116140),SARL GD TRAVEL (335201562);Auvergne-Rhône-Alpes;Rhône
TELIMA ENERGY ILE DE FRANCE;813598257;2018;54;Unité Economique et Sociale (UES);;TELIMA ENERGY NORD (813682374),TELIMA ENERGY SUD (813627916),TELIMA ENERGY OUEST (813622644),TELIMA ENERGY EST (813561263),TELIMA ENERGY ATLANTIQUE (813755923),ATLANTECH (488694241),TELIMA EURO ENERGY (840565824),FREDEV ENERGY CENTRE (842267536);Île-de-France;Seine-Saint-Denis
IQVIA OPERATIONS FRANCE;347939415;2018;77;Unité Economique et Sociale (UES);;IQVIA INFORMATION FRANCE SAS (318024338),REPORTIVE (388447179),IQVIA HOLDING FRANCE SAS (302695432);Île-de-France;Hauts-de-Seine
JEFF DE BRUGES DIFFUSION SAS;448989947;2018;72;Unité Economique et Sociale (UES);;JEFF DE BRUGES SAS (300217544),JEFF DE BRUGES EXPLOITATION SAS (449127885);Île-de-France;Seine-et-Marne
DuPont de Nemours France SAS;592059182;2018;73;Unité Economique et Sociale (UES);;DuPont Solutions (492951306);Île-de-France;Paris
Laboratoires THEA SAS;390813988;2018;79;Unité Economique et Sociale (UES);;THEA HOLDING (500309042),THEA PHARMA (833730559);Auvergne-Rhône-Alpes;Puy-de-Dôme
VISION SYSTEMS;483345690;2019;68;Unité Economique et Sociale (UES);;SAFETY TECH (956508832),VISION SYSTEMS AERONAUTICS (378956601),SMART LITE (823603592);Auvergne-Rhône-Alpes;Rhône
AUDEO SERVICES;799256565;2019;62;Unité Economique et Sociale (UES);;SERVYR COURTAGE (389359563),EXPERIS (802347500),HELIUM (513263111);Grand-Est;Marne
MUTUELLE PREVIFRANCE;776950669;2019;93;Unité Economique et Sociale (UES);;MUTUELLE PREVIFRANCE SERVICES SANTE (444607998),PREVIFRANCE COURTAGE (389403957);Occitanie;Haute-Garonne
GROUPE KERTRUCKS FINANCE;485312441;2018;75;Unité Economique et Sociale (UES);;KERTRUCKS (326620820),KERTRUCKS LOCATION & SERVICE (487568305),KERTRUCKS TRAILERS (301029542),KERTRUCKS PNEUS (500550983),M2V (751252834),KERTRUCKS ACADEMY (840536734);Bretagne;Ille-et-Vilaine
Coopérative Bourgogne du Sud;778556423;2018;69;Unité Economique et Sociale (UES);;Bourgogne Agro (403042021),Extrusel (344188271),Horma'Nat (345391601),Juricoops (408161636),Moulin Jannet (337684211),PB Regnier (341712461),Viti Vini Service (538390048);Bourgogne-Franche-Comté;Saône-et-Loire
CHAUSSON MATERIAUX;528648892;2019;83;Unité Economique et Sociale (UES);;BETOTRANS (829773761),CREA (444953087);Occitanie;Haute-Garonne
SERGIC;428748909;2018;60;Unité Economique et Sociale (UES);;SERGIC INVEST (344870753),SERGIC CORPORATE (407671460),SERGIC ENTREPRISES (377956636),SYNDIC ONE (820918258),KLEVALTO (790608715),MAGELLAN IMMOBILIER CONSEILS (841833387),SERGIC RESIDENCES SERVICES (410634620),CCGA (326625290),INVESTAS PATRIMOINE & IMMOBILIER (492844683);Hauts-de-France;Nord
Odalys Résidences;487696080;2019;71;Unité Economique et Sociale (UES);;Odalys Groupe (484276126),RT Promotion (447614975);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
VYGON SA;325241750;2019;83;Unité Economique et Sociale (UES);;SIPV (487729923);Île-de-France;Val-d'Oise
Sacem;775675739;2018;88;Entreprise;;;Île-de-France;Hauts-de-Seine
MARKEM IMAJE INDUSTRIES;789216702;2019;91;Unité Economique et Sociale (UES);;MARKEM IMAJE HOLDING (353282106),MARKEM IMAJE SAS (509478277);Auvergne-Rhône-Alpes;Drôme
Groupe Royer;309742492;2018;75;Unité Economique et Sociale (UES);;EUROKA (391304854),ROYER SPORT (323127035),NBR (491867040),ROYER LICENCES (313966301),ROYER RETAIL (439723859),ROYER LOGISTIQUE (323354175),ROYER SAS (326535143),H31 (830055182),CHARLES JOURDAN 1921 (510783343),ROYER SOCCER TEAM (808036065),PIOLA (525162087);Bretagne;Ille-et-Vilaine
IMERYS SA;562008151;2019;81;Unité Economique et Sociale (UES);;IMERYS SERVICES SAS (320750730),IMERTECH SAS (509434296);Île-de-France;Paris
LEASEPLAN FRANCE SAS;313606477;2019;91;Unité Economique et Sociale (UES);;SOCIETE COURTAGES ASSURANCES GROUPE (318332988);Île-de-France;Hauts-de-Seine
AZURIAL;519881791;2019;84;Unité Economique et Sociale (UES);;AZUR INDUSTRIE (342493665),AZURIAL ESPACES VERTS (829050129);Île-de-France;Seine-et-Marne
Geoxia Maisons Individuelles;389002767;2018;84;Unité Economique et Sociale (UES);;GIE Geoxia Ressources (437654551),Geoxia Ile de France (320920911),Geoxia Nord Ouest (421282211),Geoxia Centre Est (421286550),Geoxia Rhône Alpes (316606664),Geoxia Méditerranée (318573318),Geoxia Midi Pyrénées (316701721),Geoxia Languedoc Roussillon (494492218),Geoxia Ouest (449080324);Île-de-France;Hauts-de-Seine
DDB;394594345;2018;68;Unité Economique et Sociale (UES);;TRIBAL (789795200),SCORE DDB (316486406),MAUL PRODUCTIONS (451829121),GUTENBERG NETWORKS INSIDE (421714387),TAGARO DDB (439855727),DDB HEALTH (404752297),DDB LINK (334736543);Île-de-France;Paris
ROUSSELOT SAS;442743126;2019;;Unité Economique et Sociale (UES);;ROUSSELOT iSLE SUR LA SORGUE SAS (484870142),ROUSSELOT ANGOULEME SAS (484588116);Île-de-France;Hauts-de-Seine
CATHELAIN;551920135;2018;;Unité Economique et Sociale (UES);;CG2I (501463830);Hauts-de-France;Pas-de-Calais
Société Fromagère de Rodez Etablissement Fromages et poudres;384349247;2019;89;Unité Economique et Sociale (UES);;Société Laitière de Rodez (440236073);Occitanie;Aveyron
Akka Services;391136108;2019;88;Unité Economique et Sociale (UES);;Akka Technologies (422950865),Akka Manager (447850314),Akka I&S (318732880),Akka Ingenierie Produit (308884998),EKIS france (389816455),Aeroconseil (420714792);Auvergne-Rhône-Alpes;Rhône
PILEJE LABORATOIRE;950450452;2018;70;Unité Economique et Sociale (UES);;PILEJE INDUSTRIE (384169108),WAMINE (422902213),GENIBIO (417723863);Île-de-France;Paris
CACEIS;437580160;2019;89;Unité Economique et Sociale (UES);;CACEIS Bank (692024722),CACEIS Fund Administration (420929481),CACEIS Corporate Trust (439430976);Île-de-France;Paris
Clinique de l'Union;320153398;2019;;Unité Economique et Sociale (UES);;SA LE MARQUISAT (396720286);Occitanie;Haute-Garonne
TIMPAE;798011920;2019;97;Unité Economique et Sociale (UES);;MANDAE (798671335);Île-de-France;Val-de-Marne
Fondation Casip-Cojasor;429212111;2019;73;Unité Economique et Sociale (UES);;Bureau du Chabbath (329087050);Île-de-France;Paris
DOME AS;408725463;2018;93;Unité Economique et Sociale (UES);;EURL AMBALA (838339315),EURL BEAUMA (513567107),EURL BREZETA (749821344),EURL BRIDA (440327351),EURL CHAMALA (440327211),EURL VERTAIZA (820659548),EURL GERZATA (487671844),EURL ISSALA (409715067),EURL LAMALA (409714581),EURL MAXLINE (384923546),EURL MICHALA (410119424),EURL RIOMALA (434176533),EURL MONFA (444574032),EURL RESTHIERS (395224827),EURL JAMALA (384851424);Auvergne-Rhône-Alpes;Puy-de-Dôme
DIRAMODE;301571931;2019;98;Unité Economique et Sociale (UES);;PROMOTION DU PRET A PORTER (477280846);Hauts-de-France;Nord
TEREOS STARCH & SWEETENERS;403138225;2019;83;Unité Economique et Sociale (UES);;TEREOS STARCH & SWEETENERS LBN (480891407);Grand-Est;Bas-Rhin
LyondellBasell Service France;501537039;2019;79;Unité Economique et Sociale (UES);;Basell PolyOlefines France (394400121),Compagnie Petrochimique de Berre (403071301),Basell Sales and Marketing BV (490122975);Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
SOTHYS INTERNATIONAL;582062071;2018;91;Unité Economique et Sociale (UES);;SOTHYS PARIS (451170807),SIMAH (451195325),SOREDEC (345175772),SOCIETE FRANCAISE DE COSMETIQUES (381124544),SOTHYS AURIAC (452699010),LES ETANGS D'AURIAC (491256418),SOTHYS SPAS MANAGEMENT (829222181);Nouvelle-Aquitaine;Corrèze
HABITAT CONCEPT;394751713;2018;30;Unité Economique et Sociale (UES);;RESIDENCES PICARDES (351494653),ECS 80 (387468218),BDL PROMOTION (494332398),EASY FINANCES (521262089),RENOVEA (529170839),SATB (410389357),MA MAISON (440630994),GROUPE BDL (448931048),MAISONS.COM (528361314);Hauts-de-France;Somme
AON FRANCE;414572248;2018;78;Unité Economique et Sociale (UES);;AON HOLDING FRANCE SNC (501211411),INTERNATIONALSPACE BROKERS FRANCE (420732265);Île-de-France;Paris
5;410496194;2019;90;Unité Economique et Sociale (UES);;Beijaflore France (433736550),Headlink Partners (432936870),Ykems (440752285),Ombeline Finances (424597946);Île-de-France;Paris
PRIMEXIS SAS;539528240;2019;78;Unité Economique et Sociale (UES);;PRIMEXIS SERVICES (318919461);Île-de-France;Hauts-de-Seine
SICAREV;886250091;2019;88;Unité Economique et Sociale (UES);;VITAGRO (433261021);Auvergne-Rhône-Alpes;Loire
NEXTER SYSTEMS;379706344;2019;89;Unité Economique et Sociale (UES);;NEXTER MUNITIONS (339946469),NEXTER MECHANICS (439551110),NEXTER TRAINING (501655880),NBC SYSTEMS (439570417),OPTSYS (508707262),NEXTER ROBOTICS (538115684);Île-de-France;Yvelines
AGC Normandie Ouest;326505039;2019;81;Unité Economique et Sociale (UES);;AER Normandie Ouest (494356918),ACTIS Architecture et Bâtiment (494907355);Normandie;Calvados
AEGIDE SA;401397765;2019;84;Unité Economique et Sociale (UES);;AEGIDE MANAGEMENT SARL (402095509),CHATEAU BELMONT (302508460),DOMITYS INVEST SAS (329479257),SARL LES TRANSATS (828380139),DOMITYS SAS (488701434),SARL DOMITYS NORD OUEST (531823698),SARL DOMITYS SUD EST (537705022),SARL DOMITYS SUD OUEST (519083406),SARL DOMITYS CENTRE OUEST (452414774),DOMITYS EST SARL (750184632),DOMITYS NORD SARL (750157612);Île-de-France;Paris
GEA;397553660;2019;94;Unité Economique et Sociale (UES);;TERRES DU SUD (381561844),CARRE VERT (319557716),EXPALLIANCE (407943315),DELTA SUD (423299551),TRADISUD (422738088),ALCOR CEREALES (512856170),SDA NEGOCES (402296230),CASTELMAIS (339873374);Nouvelle-Aquitaine;Lot-et-Garonne
MANUTAN SA;334668852;2019;89;Unité Economique et Sociale (UES);;MANUTAN INTERNATIONAL (662049840),ASSOCIATION DU RIE MANUTAN (534677349);Île-de-France;Val-d'Oise
ORANGE SA;380129866;2019;99;Unité Economique et Sociale (UES);;ORANGE CARAIBES (379984891);Île-de-France;Paris
CAISSE DE CREDIT MUTUEL AGRICOLE DU CENTRE;317082907;2019;86;Unité Economique et Sociale (UES);;CAISSE REGIONALE DE CREDIT MUTUEL DU CENTRE (306487331);Centre-Val de Loire;Loiret
Wavestone SA;377550249;2019;86;Unité Economique et Sociale (UES);;Wavestone Advisors (433224847);Île-de-France;Hauts-de-Seine
Médiamétrie;333344000;2019;78;Unité Economique et Sociale (UES);;Médiamétrie//NetRatings (429358492);Île-de-France;Hauts-de-Seine
EMC2;775616626;2019;79;Unité Economique et Sociale (UES);;HOUPIEZ (485520118),C4M (485124986),EMC2 TRANSPORTS (509422903),EMC2 INVESTISSEMENTS (395399140),LOEB UNEGO (303458079);Grand-Est;Meuse
SATEC;784395725;2019;84;Unité Economique et Sociale (UES);;SATEC SERVICES (821203197);Île-de-France;Hauts-de-Seine
DARTY GRAND EST;303376586;2019;89;Unité Economique et Sociale (UES);;A2I DARTY RHONE ALPES (491634697);Auvergne-Rhône-Alpes;Rhône
FACILAVIE;775022361;2018;;Unité Economique et Sociale (UES);;ASSAD (401516125),ASSIAD (401855762);Centre-Val de Loire;Cher
LAFARGEHOLCIM BETON;414815043;2019;79;Unité Economique et Sociale (UES);;BETONS CHANTIERS CHARENTE LIMOUSIN (766500102),BETONS MATERIAUX CONTROLES BMC (503803199);Île-de-France;Hauts-de-Seine
UNION ALTITUDE;323138776;2019;85;Unité Economique et Sociale (UES);;CHAUX DE MONTMURAT (380064956),COSTE CHAUDE (318609443),ELEVEURS DU PAYS VERT (779113539),EQUATION (393290069),FLORINAND (815274949),SA DU PAYS VERT (323315044),CANTAL SALAISONS (407220201),UALC (777946344);Auvergne-Rhône-Alpes;Cantal
American Express Carte France;313536898;2019;85;Unité Economique et Sociale (UES);;American Express Payments Europe SL (839240520);Île-de-France;Hauts-de-Seine
XPO TRANSPORT SOLUTION SUD;379852742;2018;;Entreprise;;;Auvergne-Rhône-Alpes;Drôme
GEODIS INTERSERVICES;402316467;2019;81;Unité Economique et Sociale (UES);;GEODIS LOGISTICS SERVICES (435148754),GEODIS NETWORKS (428771042),GEODIS SUPPLY CHAIN OPTIMIZATION (508636602),GEODIS WILSON NETWORK (344147897);Île-de-France;Hauts-de-Seine
RESTORIA;332323047;2019;88;Unité Economique et Sociale (UES);;POIVRE&SEL (537815730);Pays de la Loire;Maine-et-Loire
MACIF SGAM;493754261;2019;69;Unité Economique et Sociale (UES);;GIE MMF (391138542);Nouvelle-Aquitaine;Deux-Sèvres
JARDILAND SAS;306844622;2019;79;Unité Economique et Sociale (UES);;JARDILAND CAMPUS (453357402),JARDI BEZIERS (433754223);Île-de-France;Val-de-Marne
VILMORIN ET COMPAGNIE;377913728;2019;89;Unité Economique et Sociale (UES);;GROUPE LIMAGRAIN HOLDING (322791039);Auvergne-Rhône-Alpes;Puy-de-Dôme
AGC MAYENNE - SARTHE;786249441;2019;76;Unité Economique et Sociale (UES);;AER MAYENNE - SARTHE (492992532),CGA MAYENNE - SARTHE (786316513),SARL LOGICIA (418058491);Pays de la Loire;Mayenne
CFPR;313642548;2019;86;Unité Economique et Sociale (UES);;AGROAIR (509405692),AGRO INNOVATION INTERNATIONAL (402947014),LABORATOIRE DE MIRCOBIOLOGIE ET D'HYGIENE (343507984),TIMAC AGRO INTERNATIONAL (534392485),VITAS (511813503);Bretagne;Ille-et-Vilaine
BIOLIA;433895265;2019;96;Unité Economique et Sociale (UES);;BIOLIX (301968715);Grand-Est;Bas-Rhin
Sodexo en France;310923008;2019;99;Unité Economique et Sociale (UES);;Sodexo Santé Medico Social (338253081),Sodexo Entreprises (338253230),Société Française de Restauration et Services (338253131),Société Marseillaise de Restauration et Services (392343083),Société Bretonne de Restauration et Services (432456556),Société Thononaise de Restauration et Services (432503175),Société de Restauration Auberge à Liens (493886477),Société LA NORMANDE (326150059),Société Sogeres (572102176),Société Sagère (310801162);Île-de-France;Yvelines
OPTEVEN ASSURANCES;379954886;2019;94;Unité Economique et Sociale (UES);;OPTEVEN SERVICES (333375426),OPTEVEN COURTAGE (843914300);Auvergne-Rhône-Alpes;Rhône
Axiane Meunerie;808892749;2019;73;Unité Economique et Sociale (UES);;Dijon Céréales Meunerie (803158690);Centre-Val de Loire;Loiret
Aéroports de Paris;552016628;2018;89;Entreprise;;;Île-de-France;Seine-Saint-Denis
LE PARISIEN LIBERE;332890359;2019;78;Unité Economique et Sociale (UES);;LE PARISIEN MAGAZINE (508133394),TEAM MEDIA (389505850),LE PARISIEN MANAGEMENT (797767035);Île-de-France;Paris
CIFD;379502644;2019;87;Unité Economique et Sociale (UES);;3CIF (339350712),CIF Euromortgage (434970364);Île-de-France;Paris
HELVETIA Compagnie Suisse d'Assurances;775753072;2019;72;Unité Economique et Sociale (UES);;HELVETIA Assurances SA (339489379);Normandie;Seine-Maritime
Jardins d’Arcadie Exploitation;428130702;2018;97;Unité Economique et Sociale (UES);;Dom Hestia (321139305),JA bien vivre (793044066),JA Résidences (522152388),PME seniors region (801730938),PME seniors Ile de France (801781436),Arcadie SARL (502108236);Auvergne-Rhône-Alpes;Rhône
INGENICO GROUP;317218758;2019;81;Unité Economique et Sociale (UES);;INGENICO BUSINESS SUPPORT (814734091),INGENICO FRANCE (538600404),INGENICO TERMINALS (538600412);Île-de-France;Paris
JULES;305154262;2019;84;Unité Economique et Sociale (UES);;BZB (482435898),HAPPYCHIC LOGISTIQUE (518862750);Hauts-de-France;Nord
TOTAL MARKETING SERVICES;542034921;2019;87;Unité Economique et Sociale (UES);;TOTAL FLUIDES (342241908),TOTAL MARKETING FRANCE (531680445),TOTAL ADDITIFS ET CARBURANTS SPECIAUX (956501100),TOTAL LUBRIFIANTS (552006454);Île-de-France;Hauts-de-Seine
MACIF SAM;781452511;2019;94;Unité Economique et Sociale (UES);;MACIF AVANTAGES ET SERVICES (509462636);Nouvelle-Aquitaine;Deux-Sèvres
Seino Vision;327204087;2019;71;Unité Economique et Sociale (UES);;Société d'Exploitation des Vedettes Paris Tour Eiffel (775707938),Compagnie des Batobus (350540324);Île-de-France;Paris
SADEC;351461694;2019;90;Unité Economique et Sociale (UES);;AKELYS (652008939),IMPULSION (823971775),CIAGEC (338097066),AECD (408977718),ECODIA (448575696),EXACOM (499298016);Grand-Est;Aube
Métropole Télévision;339012452;2019;87;Unité Economique et Sociale (UES);;EDI TV (414262345),SEDI TV (404361628),PARIS PREMIERE (383081254),M6 THEMATIQUE (403105109),M6 GENERATION (410902803),M6 BORDEAUX (433503364);Île-de-France;Hauts-de-Seine
SELAS Taj;434480273;2019;85;Unité Economique et Sociale (UES);;SAS Deloitte Taj Insight (793364209);Île-de-France;Hauts-de-Seine
Cogedim gestion;380375097;2018;84;Unité Economique et Sociale (UES);;COVALENS (309021277),ACEAM (534207386);Île-de-France;Paris
FLANDRE OPALE HABITAT;616820205;2019;99;Unité Economique et Sociale (UES);;CHACUN CHEZ SOI (615420668),HABITAT PRIVILEGE (408337707);Hauts-de-France;Nord
KS DESIGN;339403370;2018;;Unité Economique et Sociale (UES);;KSI BEAUTE (448886622),KSI MODE (448886242),KSI RETAIL (482705175);Île-de-France;Paris
SMAC SAS;682040837;2018;;Entreprise;;;Île-de-France;Hauts-de-Seine
EURIAL SERVICES;815063888;2019;87;Unité Economique et Sociale (UES);;EURIAL LOGISTIQUE OUEST (815067871),HERBIGNAC CHEESE INGREDIENTS (493056188),EURIAL FOOD SERVICE & INDUSTRY (815063904),EURIAL BEURRE FROMAGE (353543358),EURIAL INTERNATIONAL (824682686),EURIAL INGREDIENTS ET NUTRITION (823521489),EURIAL MANAGEMENT (799033824);Pays de la Loire;Loire-Atlantique
Medinger & fils;582150868;2018;;Entreprise;;;Île-de-France;Essonne
Marionnaud Parfumeries;388764029;2018;80;Unité Economique et Sociale (UES);;Marionnaud Espace (305756611),Marionnaud Lafayette (348674169);Île-de-France;Paris
La Boite à Outils;779463223;2019;69;Unité Economique et Sociale (UES);;EDB Froment (449895317),EDB Aubenas (794079723),Comptoir Froment (423781285);Auvergne-Rhône-Alpes;Isère
DOW AGROSCIENCES;950417493;2019;97;Unité Economique et Sociale (UES);;DOW AGROCIENCES DISTRIBUTION (433934072),DOW EXPORT (378322796);Île-de-France;Yvelines
DuPont de Nemours France SAS;592059182;2019;88;Unité Economique et Sociale (UES);;DuPont Solutions SAS (492951306);Île-de-France;Yvelines
CILAM SA;310864038;2019;83;Unité Economique et Sociale (UES);;CILAM PLF (518346473),CILAM L&J (518419445),FROMAGERIES DE BOURBON (412758898);La Réunion;La Réunion
OMS SYNERGIE SUD;528632987;2018;89;Entreprise;;;Île-de-France;Val-d'Oise
Asmodee Group;399899806;2019;89;Unité Economique et Sociale (UES);;Asmodee France (821169794),Asmodee Holding (798660833),Asmodee Digital (818058216),Days Of Wonder (443656277),JD Editions (312680671),UBIK (452197445),Financière Amuse BidCo (815143904);Île-de-France;Yvelines
Crédit Mutuel Arkéa;775577018;2019;92;Unité Economique et Sociale (UES);;Caisse régionale du CMSO (691820385),Caisse régionale du CMMC (318773439),Arkéa Banque Entreprises et Institutionnels (378398911),Federal Finance (318502747),Federal Finance Gestion (378135610),Arkéa Capital (420761512),Arkéa Crédit Bail (384288684);Bretagne;Finistère
Parker Hannfin Manufacturing France SAS;523394724;2019;90;Unité Economique et Sociale (UES);;Parker Hannfin France SAS (448863688);Auvergne-Rhône-Alpes;Haute-Savoie
LFB BIOMEDICAMENTS;491371167;2019;81;Unité Economique et Sociale (UES);;LFB BIOTECHNOLOGIES (491975496),LFB BIOMANUFACTURING (499272508);Île-de-France;Essonne
Kering SA;552075020;2019;95;Unité Economique et Sociale (UES);;Kering Finance (410255665);Île-de-France;Paris
Etex France Building Performance;562620773;2019;81;Unité Economique et Sociale (UES);;EBPI (535050686);Provence-Alpes-Côte d'Azur;Vaucluse
FONDATION SANTE DES ETUDIANTS DE FRANCE;775683006;2018;89;Entreprise;;;Île-de-France;Paris
Expleo France;404271470;2018;88;Unité Economique et Sociale (UES);;Expleo Régions (352268973);Île-de-France;Yvelines
BPCE Vie;349004341;2019;87;Unité Economique et Sociale (UES);;BPCE Relation Assurances (814206686);Île-de-France;Paris
BUNSHA;312347362;2019;97;Unité Economique et Sociale (UES);;KIABI EUROPE (344103270),KIABI LOGISTIQUE (347727950);Hauts-de-France;Nord
FINEDUC IONIS GROUP;391820826;2019;83;Unité Economique et Sociale (UES);;EPITA (443220223),EPITECH (423855196),IPSA (433695632),ISBP (479622953),ISTM (514032838);Île-de-France;Val-de-Marne
APSIDE;309065084;2019;79;Unité Economique et Sociale (UES);;APSIDE TECHNOLOGIES (333455400),APSIDE INFOGERANCE (477699201);Île-de-France;Hauts-de-Seine
COVIVIO;364800060;2019;97;Unité Economique et Sociale (UES);;COVIVIO PROPERTY (489024281),COVIVIO HOTEL (955515895),COVIVIO DEVELOPPEMENT (439381468),FONCIERE DEVELOPPEMENT LOGEMENT (552043481);Grand-Est;Moselle
XPO SCH FRANCE;378992895;2019;89;Unité Economique et Sociale (UES);;XPO SCH NORD & EST FR (484833876);Occitanie;Haute-Garonne
BDL DEVELOPPEMENT;428099022;2019;92;Unité Economique et Sociale (UES);;BULLE DE LINGE NORMANDIE (493485924),BULLE DE LINGE PACA (503008633);Normandie;Seine-Maritime
VENTE-PRIVEE.COM;434317293;2019;75;Unité Economique et Sociale (UES);;VENTE PRIVEE LOGISTIQUE (452650500),SAS OOSEARCH (501788368),DIGITAL COMMERCE (531807220);Île-de-France;Seine-Saint-Denis
IRCEM GESTION;530443076;2019;92;Unité Economique et Sociale (UES);;IRCEM AGIRC ARRCO (783799091),GIE ASSURANTIEL IRCEM (843938580);Hauts-de-France;Nord
FLAMMARION SA;321921546;2019;89;Unité Economique et Sociale (UES);;EDITIONS J'AI LU (582039673),EDITIONS AUTREMENT (303696496);Île-de-France;Paris
BOUYGUES BATIMENT SUD EST;731620316;2019;72;Unité Economique et Sociale (UES);;LINKCITY SUD EST (343156154);Auvergne-Rhône-Alpes;Rhône
Mutuelle Bleue;775671993;2019;94;Unité Economique et Sociale (UES);;GIE Groupe les Hauts Mézereaux (389734914);Île-de-France;Paris
NEUFLIZE OBC;552003261;2019;75;Unité Economique et Sociale (UES);;ABN AMRO INVESTMENT SOLUTIONS (410204390),NEUFLIZE VIE (377678917);Île-de-France;Paris
DDB;394594345;2019;83;Unité Economique et Sociale (UES);;Score DDB (316486406),TRIBAL (789795200),DDB Link (334736543),DDB Health (404752297),Gutenberg Networks Inside (421714387),Tagaro DDB (439855727),Maul Productions (451829121);Île-de-France;Paris
CLINIQUE DE L'ESSONNE;966202988;2019;40;Unité Economique et Sociale (UES);;CENTRE DE REEDUCATION FONCTIONNELLE CHAMPS ELYSEES (483384111);Île-de-France;Essonne
Transports Marcel Garnier;788245165;2019;;Unité Economique et Sociale (UES);;Elevage Transport Services (435403225);Bretagne;Côtes-d'Armor
HABITAT CONCEPT;394751713;2019;40;Unité Economique et Sociale (UES);;RESIDENCES PICARDES (351494653),ECS 80 (387468218),BDL PROMOTION (494332398),EASY FINANCES (521262089),RENOVEA (529170839),SATB (410389357),MA MAISON (440630994),GROUPE BDL (448931048),MAISONS.COM (528361314);Hauts-de-France;Somme
XPO VOLUME FRANCE NATIONAL;341152833;2018;;Entreprise;;;Auvergne-Rhône-Alpes;Drôme
Electricité de Strasbourg;558501912;2019;95;Unité Economique et Sociale (UES);;ES Energies Strasbourg (501193171);Grand-Est;Bas-Rhin
