Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
UES LES ECHOS;582071437;2020;93;Unité Economique et Sociale (UES);;LES ECHOS LE PARISIEN MEDIAS (432526903),LES ECHOS MANAGEMENT (433975166),LES ECHOS PUBLISHING (381123868),LES ECHOS SOLUTIONS (408165157),INVESTIR PUBLICATIONS (351660808),SFPA (304951460),RADIO CLASSIQUE (340249366),GROUPE LES ECHOS (349037366),MEZZO (418141685);Île-de-France;Paris
Association pour l'Utilisation du Rein Artificiel (AURA);775694839;2020;84;Entreprise;;;Île-de-France;Val-de-Marne
OTTO BOCK ;304951940;2020;84;Unité Economique et Sociale (UES);;ORTHESE PROTHESE GENERALE (387742083),TECHNIC ORTHO (499316289),LA PROTHESE GENERALE (956201164),CHABLOZ ORTHOPEDIE (440359917),ORTHESE PROTHESE CHANGEANT (827816935),ORTHODYNAMIC (347437105);Île-de-France;Essonne
ALEF;310498217;2020;89;Entreprise;;;Grand-Est;Bas-Rhin
SOCAMAINE;306015306;2020;93;Entreprise;;;Pays de la Loire;Sarthe
EOLANE COMBREE;334300225;2020;76;Entreprise;;;Pays de la Loire;Maine-et-Loire
DuPont de Nemours France SAS;592059182;2020;92;Unité Economique et Sociale (UES);;DuPont Solutions (492951306);Île-de-France;Yvelines
CRÉDIT AGRICOLE AQUITAINE;798091096;2020;88;Entreprise;;;Nouvelle-Aquitaine;Gironde
Caisse Régionale Mutuel de Crédit Agricole Franche Comté;384899399;2020;98;Entreprise;;;Bourgogne-Franche-Comté;Doubs
MSA ARDECHE DROME LOIRE;521070557;2020;92;Entreprise;;;Auvergne-Rhône-Alpes;Drôme
LR ETANCO;579800764;2020;82;Entreprise;;;Île-de-France;Yvelines
SULLY GROUP;399091339;2020;84;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
MITSUBISHI ELECTRIC EUROPE BV;405247230;2020;;Entreprise;;;Île-de-France;Hauts-de-Seine
CLINIQUE GENERALE;407658087;2020;84;Entreprise;;;Auvergne-Rhône-Alpes;Haute-Savoie
